Countries,Deaths,Cases,Population Aged 65 or Above,ln(vac)
USA,748615,46193234,53.3,19.08336872
India,461389,34377113,87.1,19.62665155
UK,141862,9333895,12.5,17.63532252
Russia,249215,8259503,22,17.68474933
France,115526,6994575,13.3,17.62010413
Iran,127439,5996155,5.3,17.3559659
Argentina,116104,5296781,5,17.08749009
Spain,87558,5032057,9.2,17.30918806
Colombia,127533,5015042,4.4,16.89202084
Italy,132423,4812591,13.9,17.53379807
Germany,96727,4804378,18,17.77012944
Indonesia,143578,4248843,16.4,18.13589067
Poland,77980,3125179,6.9,16.69227352
Ukraine,73390,3107489,7.3,15.81558985
Philippines,44521,2805294,5.7,17.10404964
Malaysia,29349,2510852,2.2,16.97045824
Netherlands,18583,2212814,3.4,16.15552303
Iraq,23372,2064011,1.3,15.08814842
Thailand,19764,1982495,8.6,17.24662975
Japan,18313,1724319,35.5,18.31703411
Canada,29132,1727686,6.6,17.1578203
Bangladesh,27904,1571434,8.4,17.21330057
Belgium,26200,1438830,2.2,15.9152938
Sweden ,15057,1177094,2,15.74771275
Portugal,18209,1098125,2.3,15.79203914
Vietnam,22598,976672,7.3,16.96660506
Saudi Arabia,8805,548973,1.2,16.89383553
Georgia,10584,761067,0.6,13.65813485
Serbia,10472,1187373,1.6,14.91652396
Hungary,31521,914586,1.9,15.52604298
Austria,11213,889379,1.7,15.47741017
Switzerland,10846,890312,1.6,15.46520307
Nepal ,11454,815372,1.7,15.79631256
Greece ,16361,792239,2.3,15.59032917
Singapore,540,220803,0.7,15.42738171
