Date,Admissions,Delta,Vaccination,Transit
1/5/2021,101,0,60,41.46994933
2/5/2021,120,1,60.2,42.60379787
3/5/2021,123,2,60.3,35.63622662
4/5/2021,102,3,60.5,35.28210531
5/5/2021,119,4,60.7,35.99159391
6/5/2021,122,5,61,36.34571773
7/5/2021,105,6,61.2,35.99159391
8/5/2021,109,7,61.5,32.15207169
9/5/2021,104,8,61.7,31.46895884
10/5/2021,104,9,61.9,38.14791919
11/5/2021,110,10,62.1,38.8753398
12/5/2021,119,11,62.4,39.24230965
13/5/2021,107,12,62.8,38.5122508
14/5/2021,93,13,63.2,38.5122508
15/5/2021,91,14,63.6,41.46994933
16/5/2021,80,15,63.8,40.35128768
17/5/2021,102,16,64,41.84648629
18/5/2021,128,17,64.3,42.98459376
19/5/2021,127,18,64.8,44.13297369
20/5/2021,133,19,65.2,44.13297369
21/5/2021,124,20,65.6,44.51958997
22/5/2021,120,21,66,47.26536881
23/5/2021,114,22,66.2,49.27539939
24/5/2021,139,23,66.4,48.06458722
25/5/2021,134,24,66.7,47.26536881
26/5/2021,132,25,67.1,46.86811877
27/5/2021,127,26,67.6,49.27539939
28/5/2021,141,27,67.9,52.15546679
29/5/2021,104,28,68.3,55.9811743
30/5/2021,112,29,68.5,63.16729235
31/5/2021,126,30,68.6,61.32386325
1/6/2021,154,31,68.8,63.16729235
2/6/2021,130,32,69.1,63.63427347
3/6/2021,128,33,69.5,62.70246041
4/6/2021,123,34,69.8,59.96067382
5/6/2021,126,35,70.1,58.6156385
6/6/2021,154,36,70.4,55.1200775
7/6/2021,175,37,70.6,58.17434549
8/6/2021,190,38,70.8,57.7318848
9/6/2021,193,39,71.1,58.17434549
10/6/2021,201,40,71.4,59.06199633
11/6/2021,179,41,71.8,60.41302905
12/6/2021,178,42,72.3,59.96067382
13/6/2021,222,43,72.5,60.8674194
14/6/2021,228,44,72.7,60.8674194
15/6/2021,232,45,73.1,60.8674194
16/6/2021,229,46,73.4,60.8674194
17/6/2021,242,47,73.8,59.96067382
18/6/2021,239,48,74.2,59.06199633
29/6/2021,368,59,77.8,56.41601517
30/6/2021,416,60,78,55.9811743
2/7/2021,391,62,78.5,56.85273629
4/7/2021,465,64,78.9,55.54819754
5/7/2021,517,65,79,55.54819754
6/7/2021,574,66,79.1,55.54819754
7/7/2021,569,67,79.3,55.9811743
8/7/2021,607,68,79.5,55.54819754
9/7/2021,557,69,79.6,55.1200775
10/7/2021,552,70,79.8,55.54819754
11/7/2021,593,71,79.9,57.7318848
12/7/2021,732,72,80,57.29135398
13/7/2021,751,73,80.1,58.17434549
14/7/2021,756,74,80.2,58.6156385
15/7/2021,772,75,80.3,59.06199633
16/7/2021,700,76,80.4,59.96067382
17/7/2021,709,77,80.5,61.77916561
18/7/2021,799,78,80.5,62.23975797
19/7/2021,876,79,80.6,63.63427347
23/7/2021,864,83,80.9,63.16729235
24/7/2021,828,84,81,62.70246041
27/7/2021,918,87,81.1,62.23975797
28/7/2021,851,88,81.2,60.8674194
29/7/2021,837,89,81.3,60.8674194
30/7/2021,747,90,81.3,59.96067382
31/7/2021,675,91,81.4,61.32386325
1/8/2021,740,92,81.4,62.23975797
2/8/2021,786,93,81.5,62.70246041
3/8/2021,764,94,81.5,63.63427347
4/8/2021,835,95,81.6,65.52075849
5/8/2021,814,96,81.7,64.57476344
6/8/2021,780,97,81.7,64.57476344
7/8/2021,728,98,81.8,63.63427347
8/8/2021,744,99,81.8,62.70246041
9/8/2021,758,100,81.9,62.23975797
10/8/2021,891,101,82,63.16729235
11/8/2021,849,102,82,63.16729235
12/8/2021,860,103,82.1,65.04499379
13/8/2021,787,104,82.2,66.96164886
14/8/2021,789,105,82.3,69.90312117
15/8/2021,808,106,82.3,72.93283576
16/8/2021,869,107,82.4,73.96448759
18/8/2021,909,109,82.5,72.93283576
19/8/2021,946,110,82.6,72.93283576
20/8/2021,869,111,82.7,72.93283576
21/8/2021,872,112,82.9,70.90413432
22/8/2021,832,113,82.9,70.40238762
23/8/2021,967,114,83,70.90413432
24/8/2021,999,115,83.1,72.42093476
26/8/2021,953,117,83.3,74.48429223
27/8/2021,941,118,83.4,76.05625124
28/8/2021,862,119,83.5,79.82731572
29/8/2021,853,120,83.5,82.61265142
30/8/2021,1001,121,83.5,77.12047653
31/8/2021,998,122,83.6,76.58696219
2/9/2021,1001,124,83.8,75.52831437
3/9/2021,927,125,83.8,75.00678594
4/9/2021,950,126,83.9,72.93283576
5/9/2021,878,127,83.9,71.40838604
10/9/2021,921,132,84.2,87.82009468
11/9/2021,850,133,84.2,89.62015479
12/9/2021,864,134,84.2,89.01656313
13/9/2021,941,135,84.3,89.62015479
14/9/2021,948,136,84.3,89.01656313
15/9/2021,948,137,84.3,89.62015479
16/9/2021,889,138,84.4,90.83826857
17/9/2021,752,139,84.4,90.83826857
18/9/2021,759,140,84.5,90.83826857
19/9/2021,731,141,84.5,89.62015479
20/9/2021,811,142,84.5,89.01656313
21/9/2021,802,143,84.6,89.62015479
22/9/2021,751,144,84.6,89.62015479
23/9/2021,776,145,84.6,89.01656313
24/9/2021,726,146,84.7,90.22737531
25/9/2021,675,147,84.7,91.4485683
26/9/2021,668,148,84.8,94.57887108
27/9/2021,779,149,84.8,94.57887108
28/9/2021,776,150,84.9,93.94500097
29/9/2021,803,151,84.9,92.68907174
30/9/2021,702,152,85,91.4485683
1/10/2021,693,153,85,89.01656313
2/10/2021,695,154,85.1,82.61265142
3/10/2021,717,155,85.1,79.2793489
4/10/2021,807,156,85.2,77.65682404
5/10/2021,836,157,85.3,76.05625124
6/10/2021,780,158,85.3,75.52831437
7/10/2021,816,159,85.4,75.52831437
8/10/2021,786,160,85.4,75.52831437
9/10/2021,766,161,85.5,78.73814005
10/10/2021,731,162,85.5,78.73814005
11/10/2021,845,163,85.6,79.2793489
12/10/2021,936,164,85.6,80.37827171
13/10/2021,923,165,85.7,80.37827171
14/10/2021,913,166,85.8,80.37827171
15/10/2021,942,167,85.9,80.37827171
16/10/2021,882,168,85.9,79.2793489
17/10/2021,968,169,85.9,78.19603497
18/10/2021,1080,170,86,77.12047653
19/10/2021,1104,171,86.1,76.58696219
20/10/2021,1101,172,86.2,76.05625124
21/10/2021,976,173,86.3,76.05625124
22/10/2021,933,174,86.3,76.05625124
23/10/2021,908,175,86.4,77.12047653
24/10/2021,968,176,86.4,78.19603497
25/10/2021,1056,177,86.5,78.73814005
26/10/2021,1109,178,86.6,78.73814005
27/10/2021,1146,179,86.7,78.73814005
28/10/2021,1071,180,86.7,78.73814005
29/10/2021,1022,181,86.8,77.65682404
